Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Pakistan,"12,191","12,967","7,656","8,210","10,819","13,653","16,009","18,389","21,654","23,936","30,938","36,599","40,012","37,369","40,573","40,566","41,543","43,437","50,108","52,256","52,429","59,556","63,727","67,443","67,998","79,452","82,969","81,808","81,487","82,521","79,705","77,933","77,937","89,689","105,607","118,475","137,236","152,369","170,853","167,875","177,166","213,588","224,384","231,218","244,361","271,050","278,592","304,952","312,570","284,209","298,680","314,828","335,203","364,574","384,255"
Palau,9,10,11,12,13,15,16,17,19,21,,,,,,,,,,,,,,,,,,,,,149,160,164,160,175,193,195,196,198,187,184,200,215,229,249,284,308,290,297,310,324,337,351,365,380
Palestine,177,204,295,368,577,579,680,700,728,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,"1,147","1,294","1,422","1,626","1,859","2,082","2,211","2,344","2,779","3,181","4,039","4,571","5,050","5,185","5,412","5,726","5,950","5,976","5,167","5,181","5,632","6,193","7,040","7,688","8,198","8,380","9,881","10,677","11,575","12,130","12,304","12,502","12,994","13,694","15,013","16,374","18,145","20,958","24,522","26,594","28,917","34,374","39,955","44,856","49,166","52,132","57,821","62,284","65,206","70,155","75,494","81,260","87,451","94,112","101,273"
Papua New Guinea,726,811,970,"1,467","1,661","1,536","1,652","1,819","2,211","2,543","4,158","4,081","3,871","3,865","3,570","3,306","3,597","3,953","5,494","5,329","4,840","5,693","6,578","7,477","8,217","7,273","7,740","7,398","5,655","5,160","5,258","4,610","4,580","5,584","6,276","7,312","8,306","9,439","11,549","11,550","14,205","17,953","21,268","21,144","21,823","21,195","22,568","20,334","21,319","21,453","22,114","22,901","23,753","24,598","25,551"
Paraguay,525,587,680,880,"1,178","1,336","1,501","1,849","2,262","3,020","4,095","5,220","5,470","6,069","4,931","4,214","5,032","4,216","5,584","4,046","4,904","6,984","7,158","7,249","7,871","9,062","9,788","9,965","9,025","8,393","8,856","8,496","7,196","7,691","9,624","10,738","13,430","17,856","24,577","22,347","27,239","33,716","33,283","38,585","40,277","36,164","36,054","39,009","41,604","42,352","45,376","48,416","51,542","54,762","57,896"
Peru,"5,861","6,539","7,248","8,667","10,928","13,346","12,729","11,475","9,851","12,583","20,186","24,394","24,254","18,859","19,439","16,820","25,236","41,673","32,971","40,692","28,320","33,988","35,376","34,329","43,792","52,139","54,090","56,911","54,600","49,378","51,005","51,613","54,451","59,045","66,710","74,970","87,887","102,187","121,591","121,019","148,014","168,772","189,024","197,866","203,021","192,391","195,432","214,128","225,203","232,080","244,163","257,585","272,483","288,342","304,997"
Philippines,"7,413","8,209","8,883","11,172","15,269","16,502","18,944","21,770","25,158","30,471","36,045","39,595","41,254","36,891","34,857","33,995","33,174","36,871","42,082","47,291","49,095","50,320","58,695","60,237","71,003","82,121","91,792","91,234","72,207","82,995","81,023","76,262","81,358","83,908","91,371","103,074","122,211","149,360","173,603","168,485","199,591","224,143","250,092","271,836","284,829","292,774","304,906","313,595","330,846","356,682","389,048","424,064","466,133","512,619","563,823"
Poland,"27,665","30,630","33,866","40,088","44,981","47,893","53,394","59,219","67,066","75,076","56,619","53,647","65,187","75,406","75,507","70,775","73,677","63,714","68,612","66,895","62,084","80,451","88,713","90,366","103,683","139,089","156,684","157,183","172,050","167,799","171,276","190,430","198,679","217,514","253,709","304,430","343,272","429,172","530,170","436,817","479,161","528,567","500,836","524,382","545,053","477,328","471,216","526,594","586,015","593,295","643,274","695,187","753,265","816,269","883,871"
Portugal,"8,000","9,081","11,086","14,892","17,274","19,096","20,064","21,151","23,179","26,265","32,611","32,480","30,681","28,270","25,954","27,233","37,873","47,391","55,440","59,812","79,447","89,913","108,130","95,149","99,702","118,223","122,659","117,248","124,168","127,633","118,706","121,650","134,704","165,280","189,444","197,642","208,750","240,502","263,249","244,364","238,748","245,120","216,488","226,144","229,995","199,182","205,269","219,748","238,510","239,473","249,912","259,228","269,165","278,694","289,270"
Puerto Rico,"5,647","6,329","7,002","7,685","8,198","8,969","9,911","11,165","12,750","14,436","14,436","15,956","16,764","17,277","19,163","20,289","21,969","23,878","26,178","28,267","30,604","32,287","34,630","36,923","39,691","42,647","45,341","48,187","54,086","57,841","61,702","69,669","72,546","75,834","80,322","83,915","87,276","89,524","93,639","96,386","98,381","100,352","101,565","102,450","102,089","102,906","105,035","104,219","104,344","103,506","104,117","104,624","105,158","105,801","106,490"
Qatar,539,714,"1,030","1,503","1,935","2,470","3,206","3,509","3,932","5,633","7,829","8,661","7,597","6,468","6,704","6,272","4,950","5,216","5,004","5,288","7,360","6,884","7,646","7,157","7,374","8,138","9,059","11,298","10,255","12,393","17,760","17,538","19,364","23,534","31,734","44,530","60,882","79,712","115,270","97,798","125,122","167,775","186,834","198,728","206,225","164,641","152,469","166,929","192,450","193,502","204,008","213,090","223,404","234,097","248,166"
Romania,"12,712","15,081","17,399","20,272","21,233","22,874","25,709","27,790","32,761","35,353","46,348","55,674","55,729","48,711","39,361","48,595","52,625","58,852","60,925","54,583","38,762","29,256","19,906","26,795","30,571","36,067","35,921","35,872","42,815","36,183","37,466","40,717","46,174","59,868","76,217","99,699","123,534","171,679","209,664","168,036","167,986","186,113","171,662","191,560","199,543","177,524","187,807","211,407","239,851","244,158","263,133","281,732","300,875","320,611","342,420"
Russia,,,,,,,,,,,,,,,,,,,,,,,"91,941","197,428","297,487","336,820","420,966","435,112","291,230","210,492","279,033","329,407","371,213","462,332","634,999","820,568","1,063,640","1,396,475","1,784,514","1,313,681","1,638,463","2,031,768","2,170,145","2,230,624","2,063,663","1,365,865","1,283,286","1,578,417","1,630,659","1,610,381","1,667,459","1,724,617","1,783,008","1,845,882","1,920,937"
Rwanda,241,289,326,404,530,639,712,834,"1,012","1,239","1,259","1,429","1,525","1,629","1,560","1,853","2,100","2,331","2,495","2,605","2,491","1,837","1,950","1,881","1,195","1,239","1,343","1,808","1,931","1,797","1,718","1,676","1,668","1,835","2,091","2,584","3,151","3,826","4,863","5,380","5,774","6,492","7,316","7,623","8,010","8,277","8,475","9,141","9,511","10,211","11,062","12,029","13,157","14,422","15,809"
Saint Kitts and Nevis,21,25,30,31,41,43,37,38,43,50,58,69,79,78,91,101,119,136,161,179,203,201,223,243,272,293,312,351,366,389,420,461,483,465,503,543,636,674,739,723,705,753,734,788,848,876,900,992,"1,019","1,058","1,118","1,177","1,234","1,293","1,354"
Saint Lucia,30,35,40,45,61,71,73,81,95,115,144,165,155,167,213,241,290,320,367,416,484,514,567,575,600,640,662,677,738,776,784,744,748,824,893,951,"1,063","1,151","1,187","1,181","1,242","1,281","1,299","1,318","1,386","1,431","1,643","1,810","1,874","1,971","2,069","2,156","2,233","2,312","2,393"
Saint Vincent and the Grenadines,21,23,32,35,38,38,37,43,54,63,82,102,114,122,135,146,161,176,201,215,240,255,278,286,289,316,331,348,374,391,396,430,462,482,522,551,611,678,695,675,681,676,693,721,728,738,775,785,826,864,903,942,983,"1,026","1,071"
Samoa,40,48,56,74,83,83,76,87,96,109,124,116,119,110,108,103,109,121,135,138,177,172,188,193,154,236,251,273,279,255,264,266,282,333,408,474,503,554,667,586,639,739,801,805,804,804,786,840,881,902,960,996,"1,037","1,080","1,124"
San Marino,78,85,99,120,136,156,154,176,215,269,,,,,,,,,,,,,,,,,,,,,,,,,"1,880","1,962","2,095","2,491","2,765","2,369","2,143","2,056","1,802","1,866","1,848","1,571","1,565","1,528","1,638","1,620","1,672","1,717","1,763","1,806","1,855"
São Tomé and Príncipe,38,38,42,56,58,61,52,50,55,66,69,84,81,76,79,83,117,118,100,99,120,108,96,127,132,104,34,46,54,56,58,72,81,98,108,130,140,148,188,188,197,233,253,303,348,318,351,393,449,477,527,631,687,744,782
Saudi Arabia,"5,377","7,185","9,664","14,947","45,413","46,773","64,006","74,189","80,267","111,858","164,540","184,291","153,240","129,181","119,631","103,894","86,886","85,582","88,138","95,217","117,473","132,047","136,905","132,791","134,995","143,152","158,451","165,742","146,775","161,717","189,515","184,137","189,606","215,808","258,742","328,206","376,398","415,687","519,797","429,098","526,811","671,239","735,975","746,647","756,350","654,270","644,935","688,586","782,483","762,259","790,062","817,447","847,555","881,987","919,687"
Senegal,952,984,"1,190","1,368","1,543","2,078","2,107","2,157","2,403","2,998","4,435","4,022","3,937","3,512","3,425","3,750","5,304","6,381","6,311","6,220","7,237","7,111","7,602","7,189","4,908","6,177","6,413","5,915","6,404","6,521","5,965","6,179","6,773","8,698","10,178","11,041","11,858","14,307","17,029","16,290","16,245","17,895","17,835","18,966","19,802","17,777","18,982","21,135","24,027","25,320","28,062","30,601","35,053","39,259","42,373"
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,312","12,313","16,177","21,219","24,743","26,075","30,721","40,499","49,165","42,611","39,035","46,488","40,734","45,520","44,211","37,160","38,300","44,120","50,651","52,424","56,886","61,336","66,227","71,242","76,813"
Seychelles,23,27,38,46,53,59,61,80,106,157,147,154,148,147,151,169,208,249,284,305,369,374,434,474,486,508,503,563,608,623,615,622,698,706,839,919,"1,016","1,034",967,847,970,"1,018","1,060","1,315","1,349","1,359","1,429","1,498","1,573","1,654","1,739","1,840","1,934","2,037","2,139"
Sierra Leone,451,480,529,604,695,743,690,787,"1,015","1,170","1,701","1,823","2,050","1,782","2,062","1,755","1,314","1,145","1,877","1,724",948,"1,138",992,"1,122","1,331","1,273","1,374","1,240",981,977,941,"1,084","1,250","1,380","1,439","1,649","1,884","2,159","2,511","2,454","2,578","2,942","3,802","4,916","5,007","4,543","3,785","3,748","3,906","3,998","4,221","4,442","4,723","5,051","5,400"
Singapore,"1,919","2,270","2,950","4,228","5,261","5,787","6,066","6,694","8,048","9,702","12,079","14,383","15,887","17,998","19,552","18,557","18,763","21,611","26,515","31,393","38,900","45,472","52,130","60,642","73,776","87,888","96,403","100,168","85,715","86,287","95,837","89,288","91,942","97,003","114,184","127,420","147,795","179,981","192,231","192,406","236,420","275,605","289,168","302,511","308,155","296,835","296,966","336,679","361,109","372,807","391,875","410,863","431,771","453,867","477,193"
Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,"13,669","15,772","19,951","21,579","21,891","22,804","20,841","20,691","21,386","24,854","34,023","43,121","49,048","57,402","77,105","97,030","89,171","89,668","98,270","93,466","98,509","100,919","87,312","89,806","95,938","106,585","109,863","117,399","124,755","132,321","139,735","147,101"
Slovenia,,,,,,,,,,,,,,,,,,,,,,,"19,200","16,564","16,783","21,304","21,493","20,978","22,147","22,746","20,446","20,900","23,603","29,738","34,504","36,401","39,621","48,167","55,853","50,372","48,103","51,338","46,284","47,704","49,609","42,798","44,727","48,553","54,242","55,088","58,213","61,200","64,196","67,118","70,293"
Solomon Islands,32,35,38,51,73,65,72,82,98,130,177,188,187,176,176,160,143,150,171,167,208,220,261,291,369,429,473,495,423,448,381,380,324,314,363,429,471,516,608,598,672,887,"1,025","1,111","1,154","1,130","1,235","1,298","1,424","1,511","1,607","1,718","1,833","1,970","2,109"
Somalia,341,347,448,484,573,757,871,441,500,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,887","7,382","7,480","7,903","8,341","8,803","9,297","9,819","10,370"
South Africa,"17,907","19,765","20,753","28,445","35,729","36,948","35,475","39,400","45,328","55,937","82,981","85,462","78,416","87,418","77,315","59,103","67,562","88,571","95,207","99,044","115,533","123,964","134,557","134,345","139,804","155,461","147,701","152,611","137,686","136,550","136,453","121,602","115,748","175,254","228,931","257,667","271,812","299,033","287,095","297,221","375,304","416,879","396,346","367,772","351,571","314,732","295,678","349,433","368,135","371,298","386,727","403,422","421,287","439,083","458,578"
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,186","11,267","14,940","15,100","12,485","3,056","2,949","3,929","3,151","2,796","2,946","4,056","4,048","4,161"
Soviet Union,"433,412","455,576","515,797","617,777","616,593","685,972","688,530","738,417","840,139","901,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,"39,801","45,263","57,417","76,365","94,447","111,435","115,065","128,590","155,939","208,351","230,189","204,082","197,154","172,429","171,955","181,172","250,683","317,602","373,143","411,571","533,945","575,184","628,611","528,008","529,824","612,413","638,500","587,967","616,957","634,384","597,149","626,514","707,642","908,588","1,071,007","1,159,257","1,265,661","1,481,393","1,642,738","1,502,876","1,434,257","1,489,381","1,336,685","1,362,202","1,378,042","1,193,556","1,237,766","1,316,951","1,425,865","1,429,140","1,497,082","1,559,902","1,627,103","1,693,073","1,766,427"
Sri Lanka,"2,460","2,518","2,812","3,060","3,809","3,941","3,749","4,242","2,907","3,550","5,024","5,228","5,644","6,093","7,142","7,064","7,571","7,884","8,240","8,271","9,468","10,367","11,176","11,948","13,781","14,635","16,051","17,888","18,430","18,532","19,371","18,610","19,585","21,621","23,655","27,945","32,359","37,043","46,602","48,113","56,710","65,267","68,419","74,464","80,007","81,247","80,978","87,351","88,223","84,164","89,942","96,284","103,159","110,373","118,014"
Sudan,"1,234","1,339","1,659","2,134","2,600","3,242","4,043","4,751","5,112","5,646","9,902","7,109","5,169","7,060","8,701","6,039","8,056","13,025","10,398","18,347","2,444","2,752","3,375","5,712","6,490","7,288","9,120","11,742","11,308","10,676","13,134","15,716","18,137","21,355","26,646","35,183","45,264","59,440","64,833","59,840","74,540","75,410","67,694","56,085","62,319","64,059","57,649","45,677","33,903","31,468","31,113","30,928","31,220","31,574","32,069"
Suriname,356,389,424,465,562,638,693,879,"1,008","1,072","1,192","1,333","1,372","1,325","1,296","1,309","1,336","1,469","1,741","2,034",539,594,551,434,488,927,"1,153","1,235","1,483","1,222","1,266","1,090","1,376","1,615","1,868","2,235","2,626","2,936","3,533","3,876","4,368","4,422","4,980","5,146","5,241","4,879","3,278","3,069","3,427","3,683","3,919","4,226","4,408","4,646","4,891"
Swaziland,123,157,161,220,268,329,309,346,387,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,"35,404","38,633","45,499","55,213","61,354","77,036","83,056","87,801","97,072","114,679","138,184","126,151","111,393","102,366","106,633","111,569","147,316","179,090","202,623","213,079","255,950","268,677","279,568","209,982","226,113","264,089","288,134","264,510","266,829","270,735","259,839","239,957","263,940","331,109","381,743","389,043","420,017","487,818","513,966","429,656","488,378","563,110","543,881","578,742","573,818","495,694","514,460","535,607","551,135","547,123","576,720","605,789","643,145","682,207","725,108"
Switzerland,"22,953","27,583","33,831","45,496","52,433","60,111","62,874","67,152","93,912","105,563","118,714","108,674","111,313","110,993","106,025","107,580","154,151","192,949","208,800","201,666","257,544","260,542","271,053","263,445","291,883","341,958","329,762","286,673","294,750","289,600","271,852","278,821","301,321","352,356","393,038","407,592","429,477","477,784","552,287","540,966","503,000","465,000","452,000","551,000","561,000","575,000","640,765","676,000","700,000","742,000","740,702","771,958","808,540","845,384","884,272"
Syria,"1,756","2,063","2,381","2,550","4,090","5,311","6,388","6,991","8,384","10,077","12,980","16,652","17,415","18,649","19,171","21,177","25,428","32,497","16,538","9,849","12,303","12,738","13,263","13,796","15,105","16,556","17,761","16,573","16,144","16,785","19,861","20,979","22,758","21,702","25,204","28,881","33,824","40,488","52,631","53,939","60,043",,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,291,678,829,569,"1,052","1,121","1,320","1,087",991,"1,057","1,212","1,555","2,073","2,311","2,811","3,712","5,135","4,977","5,642","6,523","7,592","8,506","9,242","7,857","6,953","7,144","7,520","7,698","7,838","8,144","8,489","8,822","9,150"
Tanzania,"1,906","2,039","2,321","2,770","3,326","3,829","4,147","4,955","5,934","6,282","7,412","8,865","10,178","10,425","9,485","8,558","10,820","5,331","5,124","4,343","3,430","4,031","3,700","3,412","3,627","4,251","5,311","6,415","9,454","11,624","12,423","12,743","13,216","14,178","15,547","16,930","18,610","21,502","27,368","28,574","31,086","33,583","39,088","44,414","48,256","45,634","47,653","53,271","57,862","61,032","64,888","69,029","73,758","78,811","84,226"
Thailand,"7,374","7,676","8,509","11,280","14,261","15,489","17,677","20,585","24,984","28,483","33,422","35,999","37,799","41,366","43,179","40,185","44,520","52,204","63,704","74,637","88,467","101,247","115,576","128,890","146,684","169,279","183,035","150,180","113,676","126,669","126,392","120,297","134,301","152,281","172,895","189,318","221,759","262,943","291,383","281,710","341,105","370,818","397,560","420,529","406,521","399,205","411,847","455,322","487,239","516,662","547,431","577,886","610,266","645,287","679,117"
Timor Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,265,298,347,406,543,599,570,687,851,"1,016","1,046",869,732,703,620,676,"1,061","1,249","1,514","1,486","1,789","1,768","1,854","1,413","1,095","1,446","1,581","1,610","1,524","1,529","1,299","1,334","1,481","1,677","1,940","2,117","2,221","2,527","3,174","3,171","3,179","3,759","3,918","4,322","4,612","4,165","4,460","4,795","5,358","5,592","6,132","6,696","7,317","7,977","8,716"
Tonga,17,19,23,34,46,43,39,45,54,58,74,82,81,80,84,79,94,101,119,144,148,177,184,190,196,211,229,227,219,200,191,182,192,215,245,278,297,324,333,343,395,447,461,446,439,414,413,455,470,493,512,531,551,569,585
Trinidad and Tobago,822,897,"1,084","1,309","2,042","2,443","2,501","3,139","3,563","4,603","6,236","6,992","8,140","7,764","7,757","7,376","4,794","4,798","4,497","4,323","5,068","5,308","5,440","4,669","4,947","5,329","5,760","5,738","6,044","6,808","8,154","8,825","9,008","11,305","13,280","15,982","18,369","21,642","27,870","19,175","22,158","25,433","25,694","26,436","26,176","23,559","22,296","22,053","22,311","22,438","23,235","24,290","25,409","26,605","27,916"
Tunisia,"1,588","1,859","2,468","3,012","3,912","4,775","4,973","5,637","6,584","7,930","9,566","9,223","8,900","9,202","9,055","9,246","9,911","10,663","11,073","11,069","13,474","14,202","16,978","15,944","17,052","19,654","21,283","20,747","21,803","22,943","21,473","22,066","23,142","27,454","31,184","32,272","34,377","38,910","44,840","43,624","44,054","45,810","45,044","46,253","47,605","43,156","42,074","39,956","39,911","36,204","35,150","36,526","39,352","42,638","46,175"
Turkey,"24,444","23,057","28,975","36,385","50,191","62,735","71,763","81,839","90,347","123,319","96,526","97,794","88,854","84,906","82,583","92,760","102,901","118,687","124,835","147,553","207,115","208,389","218,928","248,304","179,202","233,293","250,268","261,800","276,016","256,481","273,085","200,305","238,342","311,944","404,855","501,165","550,798","675,008","764,639","644,467","772,294","832,497","873,696","950,328","934,072","859,449","863,390","851,521","766,428","706,237","809,555","929,823","987,577","1,044,124","1,105,624"
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,951,"5,363","4,542","5,874","2,379","2,681","2,862","3,857","5,022","6,933","8,700","11,424","14,196","17,174","21,393","25,962","21,516","20,214","22,583","29,233","35,164","39,198","43,524","36,047","36,180","37,926","44,114","50,346","57,059","63,819","70,337","77,661","85,807"
Turks and Caicos Islands,10,11,12,14,16,18,20,23,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,3,3,3,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,14,13,16,18,22,22,23,27,31,28,32,39,40,38,37,33,37,40,45,49,53,57,62,66,69
Uganda,"1,316","1,456","1,582","1,851","2,242","2,524","2,668","2,876","2,955","2,801","5,769","9,341","6,481","7,413","5,703","5,219","5,199","8,384","8,685","7,041","5,743","3,004","2,809","3,323","4,809","5,760","5,944","6,480","6,343","6,029","5,978","6,039","6,494","6,724","8,285","9,603","10,851","13,497","17,279","18,579","20,212","21,108","24,790","26,135","28,522","25,112","25,307","26,456","28,122","30,368","33,620","36,719","40,643","43,403","47,891"
Ukraine,,,,,,,,,,,,,,,,,,,,,,,"22,193","35,025","38,012","38,275","46,083","51,867","43,315","32,661","32,331","39,309","43,956","52,010","67,226","89,282","111,885","148,734","188,240","121,552","136,011","163,161","175,707","179,572","132,343","90,939","93,263","112,125","124,603","134,887","147,170","160,587","174,930","190,331","206,733"
United Arab Emirates,"1,053","1,443","2,173","4,213","11,617","14,721","19,213","24,872","23,776","31,226","40,415","45,002","41,848","38,345","38,012","37,310","29,568","32,466","32,999","38,090","49,090","49,821","52,208","53,438","57,450","63,637","70,991","76,171","73,394","82,865","103,893","103,312","109,816","124,346","147,824","180,617","222,117","257,916","315,475","253,547","286,187","348,528","373,432","388,598","401,958","357,949","348,743","382,575","424,635","427,876","449,130","469,501","490,903","513,767","538,372"
United Kingdom,"124,970","141,314","162,369","183,201","197,882","236,514","227,217","256,596","325,244","422,476","604,678","587,772","558,717","532,564","504,481","536,810","654,761","812,013","988,304","1,005,574","1,182,997","1,235,086","1,273,729","1,139,199","1,220,824","1,320,618","1,394,478","1,537,558","1,623,794","1,652,539","1,638,702","1,613,588","1,760,454","2,030,626","2,390,268","2,511,165","2,682,213","3,064,351","2,898,941","2,377,160","2,431,169","2,611,108","2,655,458","2,721,489","3,002,394","2,863,304","2,660,687","2,639,974","2,828,644","2,829,163","2,927,083","3,027,128","3,142,339","3,265,559","3,399,017"
United States,"1,024,800","1,113,100","1,225,000","1,369,300","1,485,900","1,623,400","1,809,100","2,013,600","2,276,000","2,543,500","2,862,475","3,210,950","3,345,000","3,638,125","4,040,700","4,346,750","4,590,125","4,870,225","5,252,625","5,657,700","5,979,575","6,174,050","6,539,300","6,878,700","7,308,775","7,664,050","8,100,175","8,608,525","9,089,150","9,660,625","10,284,750","10,621,825","10,977,525","11,510,675","12,274,925","13,093,700","13,855,900","14,477,625","14,718,575","14,418,725","14,964,400","15,517,925","16,155,250","16,691,500","17,393,100","18,120,700","18,624,450","19,485,400","20,494,050","21,344,667","22,198,116","23,059,653","23,922,822","24,812,956","25,728,734"
Uruguay,"2,538","3,049","2,450","3,129","4,334","3,825","4,007","4,488","5,377","7,698","11,199","12,499","10,218","5,609","5,334","5,212","6,470","8,095","8,375","8,827","10,270","12,376","14,223","16,568","19,299","21,312","22,657","23,974","25,394","23,995","22,832","20,907","13,632","12,067","13,708","17,398","19,620","23,461","30,366","31,661","40,285","47,962","51,266","57,531","57,236","53,107","52,420","59,180","60,180","60,231","63,421","66,977","70,693","74,693","78,747"
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,"3,571","5,502","6,521","10,168","13,922","14,705","14,948","17,041","13,717","11,632","9,657","10,129","12,001","14,310","17,027","22,307","28,605","33,461","38,963","45,418","51,185","57,170","63,179","65,403","66,693","48,826","41,241","49,199","55,482","62,100","69,265","77,726","87,105"
Vanuatu,38,41,55,67,67,81,78,82,100,132,121,114,114,117,144,132,128,139,158,154,169,201,209,200,234,249,261,273,262,268,272,258,263,314,365,395,439,526,608,610,701,792,782,802,815,738,798,870,928,942,994,"1,048","1,105","1,165","1,228"
Venezuela,"13,830","15,190","16,730","19,926","30,530","32,125","36,751","42,355","45,987","56,508","69,841","78,367","79,998","79,672","57,826","59,865","60,877","46,854","60,378","44,672","48,391","53,382","60,400","59,865","58,357","77,427","70,536","85,667","91,905","97,239","117,676","123,156","95,570","83,670","112,189","143,290","177,531","221,817","289,741","237,294","294,282","334,069","331,457","228,017","215,296","260,089","236,116","143,841","98,468","76,458","70,106","63,565","59,333","55,946","56,149"
Vietnam,"2,775","3,024","3,237","3,350","3,605","3,896","4,541","5,413","6,532","7,140","27,847","13,875","18,405","27,726","48,177","14,999","33,873","42,045","23,234","6,293","6,472","7,642","9,867","13,181","16,312","20,798","24,692","26,892","27,234","28,702","31,176","32,524","35,097","39,563","49,520","57,648","66,393","77,520","98,269","101,634","112,771","134,576","155,483","170,444","185,759","191,288","201,309","220,376","241,272","260,301","282,372","306,008","332,281","361,230","392,844"
Yemen,,,,,,,,,,,,,,,,,,,,,"12,644","14,665","17,959","21,737","28,019","12,796","6,496","6,838","6,322","7,639","9,679","9,853","10,693","11,778","13,868","16,732","19,063","21,651","26,911","25,130","30,907","32,726","35,401","40,415","43,229","37,734","20,901","26,819","26,914","29,079","31,385","33,362","35,360","37,491","38,961"
North Yemen,398,471,687,624,759,927,"1,021","1,178","1,305","1,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen,154,142,159,130,138,141,183,226,272,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,"14,554","15,802","16,485","21,472","29,706","33,279","37,563","45,673","54,338","68,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,"1,544","1,574","1,852","2,350","2,895","2,658","2,814","2,767","3,098","3,827","4,246","4,385","4,232","3,653","3,003","2,848","1,962","2,431","4,095","4,365","4,085","3,690","3,614","3,549","3,657","3,799","3,599","4,303","3,538","3,405","3,601","4,094","4,194","4,902","6,221","8,332","12,757","14,057","17,911","15,328","20,265","23,460","25,504","28,046","27,151","21,243","20,941","25,868","25,179","24,615","25,272","26,345","27,614","29,063","30,629"
Zanzibar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,"2,023","2,339","2,888","3,552","4,274","4,692","4,637","4,683","4,686","5,559",,,,,,,,,,,"8,780","8,180","6,746","6,552","6,889","7,152","8,758","8,990","10,572","10,275","9,896","9,743","9,294","8,196","8,135","7,753","7,180","6,946","5,949","8,157","9,445","10,956","12,472","13,490","14,197","14,171","16,117","21,890","26,127","22,290","25,812","28,090","30,484","32,944","35,605"
Cape Verde,,,,,,,,,,,157,154,155,152,145,152,210,260,292,295,339,353,395,398,448,536,553,540,575,652,589,616,679,891,"1,023","1,090","1,237","1,514","1,789","1,712",,,,,,,,,,,"2,208","2,378","2,564","2,759","2,976"
Republic of the Congo,,,,,,,,,,,"2,083","1,708","1,489","1,354","1,245","1,276","1,746","2,121","2,257","2,384","2,799","2,725","2,933","2,684","1,769","2,116","2,540","2,323","1,949","2,357","3,220","2,794","3,020","3,503","4,655","6,098","7,738","7,446","10,224","9,363","12,304","14,811","13,664","14,026","14,099","8,554","7,787","8,992","11,188","11,162","11,367","11,486","11,245","11,303","11,666"
Ivory Coast,,,,,,,,,,,"10,051","8,367","7,506","6,768","6,736","6,907","9,186","10,097","10,214","9,767","10,822","10,530","11,178","11,056","8,329","11,007","12,139","11,735","12,627","12,393","10,748","11,202","12,390","15,336","16,576","17,115","17,817","20,373","24,339","24,341","24,931","25,693","26,797","31,281","35,373","32,764","36,375","38,130","43,032","45,252","49,882","54,527","59,517","64,388","69,661"
South Korea,,,,,,,,,,,"65,222","72,426","77,768","87,027","96,596","100,288","115,537","146,132","196,972","243,508","279,215","325,713","350,078","386,292","455,645","556,449","598,063","557,547","374,140","485,257","561,595","533,188","609,017","680,581","764,892","898,137","1,012,044","1,122,679","1,002,219","901,935","1,094,499","1,202,464","1,222,807","1,305,605","1,411,334","1,382,764","1,411,042","1,530,751","1,619,424","1,656,674","1,744,355","1,831,937","1,929,803","2,035,757","2,150,904"
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,"2,443","2,687","3,561","4,687","4,642","3,928","3,764","3,867","3,774","3,709","3,991","4,946","5,684","6,257","6,860","8,337","9,912","9,400","9,415","10,659","9,751","10,824","11,378","10,054","10,759","11,307","12,669","12,884","13,700","14,526","15,441","16,389","17,459"
