Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bulgaria,"9,000","8,897","10,407","12,409","13,495","11,908","12,625","12,908","13,982","9,408","24,974","26,937","28,094","28,870","30,668","26,258","23,239","26,938","44,022","44,835","19,768","1,937","7,861","4,266","7,500","12,564","9,491","10,024","13,227","13,501","13,153","14,076","16,277","20,984","25,958","29,636","34,131","44,410","54,408","51,885","50,611","57,420","53,901","55,760","56,732","50,199","53,236","58,335","64,963","67,044","71,746","76,264","81,116","86,081","91,561"
Burkina Faso,450,459,587,679,748,890,853,"1,031","1,328","1,782","2,121","1,846","1,719","1,571","1,404","1,553","2,036","2,370","2,616","2,616","3,101","3,135","3,357","3,200","1,924","2,380","2,587","2,448","2,805","3,013","2,633","2,836","3,218","4,212","4,843","5,474","5,820","6,781","8,409","8,391","9,123","10,734","11,172","11,938","12,329","11,105","11,310","12,349","14,180","14,882","16,266","17,695","19,261","20,913","22,758"
Burundi,245,252,246,305,346,414,456,542,612,791,951,989,"1,045","1,106","1,005","1,170","1,233","1,161","1,088","1,131","1,131","1,167","1,082",938,924,"1,000",868,972,893,866,870,877,825,785,915,"1,117","1,273","1,356","1,612","1,775","2,032","2,236","2,333","2,575","2,934","3,002","3,138","3,396","3,436","3,573","3,714","3,862","4,078","4,349","4,640"
Cabo Verde,64,72,82,101,101,118,110,103,119,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,774,776,800,710,711,746,799,738,806,768,,,,,,,205,141,276,346,899,"2,011","2,439","2,427","2,765","3,441","3,507","3,443","3,130","3,513","3,667","3,992","4,289","4,665","5,334","6,287","7,268","8,630","10,342","10,391","11,232","12,818","14,057","15,244","16,778","17,789","20,157","22,225","24,523","26,979","29,309","31,802","34,448","37,245","40,236"
Cameroon,"1,157","1,297","1,673","2,272","2,427","3,187","3,473","4,062","5,347","7,116","7,672","8,691","8,335","8,401","8,879","9,274","12,088","14,002","14,219","12,678","12,692","14,152","12,970","13,532","9,207","8,733","9,732","9,841","9,828","10,015","9,027","9,638","10,888","13,630","15,784","16,617","17,970","20,461","23,432","23,442","23,667","26,612","26,487","29,576","32,101","28,431","32,230","34,993","38,521","39,219","42,047","45,019","48,399","52,043","56,178"
Canada,"86,303","97,475","111,031","128,945","157,498","170,692","202,829","207,789","214,677","238,664","273,787","306,223","313,524","340,550","355,373","364,771","377,445","431,334","507,378","565,077","593,962","610,322","592,401","577,200","578,138","604,034","628,569","652,834","631,852","676,005","742,319","736,425","757,981","892,498","1,023,170","1,169,467","1,315,515","1,464,978","1,549,073","1,371,152","1,613,463","1,788,647","1,824,289","1,842,627","1,792,883","1,552,808","1,535,768","1,650,187","1,711,387","1,739,110","1,832,491","1,925,551","2,027,395","2,133,717","2,242,038"
Cayman Islands,24,30,39,51,60,72,86,102,122,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,264,281,321,378,392,528,629,708,852,977,714,743,719,690,670,883,"1,158","1,275","1,372","1,354","1,572","1,498","1,494","1,309",858,"1,117","1,000",979,"1,036","1,039",885,897,963,"1,110","1,257","1,337","1,461","1,698","1,985","1,982","1,986","2,196","2,171","1,519","1,706","1,593","1,756","1,937","2,185","2,285","2,485","2,691","2,917","3,154","3,461"
Chad,414,452,469,521,607,876,823,832,991,894,738,873,844,844,907,983,"1,211","1,372","1,604","1,515","1,826","1,809","1,886","1,648","1,335","1,636","1,819","1,748","1,975","1,739","1,572","1,936","2,257","3,102","5,003","6,681","7,451","8,687","10,438","9,312","10,702","12,181","12,411","12,994","14,003","10,952","10,091","9,892","10,919","11,372","12,547","13,636","14,890","15,854","17,047"
Chile,"9,559","11,443","12,354","17,611","17,069","7,941","10,843","14,699","16,940","22,806","28,829","34,134","25,451","20,673","20,104","17,238","18,531","21,856","25,765","29,680","32,998","37,981","46,271","49,506","57,114","73,600","78,025","84,924","81,590","75,121","77,825","70,968","69,729","75,644","99,236","122,958","154,782","173,471","179,510","172,512","218,272","252,072","267,026","278,340","260,954","242,537","250,008","277,668","298,172","295,614","313,561","329,797","346,539","364,091","383,171"
China,"91,039","98,059","111,589","136,071","141,529","160,340","150,854","171,467","214,160","263,190","305,350","290,724","286,729","307,683","316,666","312,616","303,340","330,303","411,923","461,066","398,623","415,604","495,671","623,054","566,471","736,870","867,224","965,320","1,032,576","1,097,133","1,214,912","1,344,097","1,477,483","1,671,072","1,966,223","2,308,786","2,774,308","3,571,451","4,604,285","5,121,681","6,066,351","7,522,103","8,570,348","9,635,025","10,534,526","11,226,186","11,221,836","12,062,281","13,407,398","14,216,503","15,468,095","16,806,501","18,206,847","19,713,516","21,309,503"
Colombia,"10,193","11,062","12,282","14,531","17,462","18,508","21,674","27,519","32,864","39,497","46,784","50,969","54,583","54,249","53,581","48,877","48,944","50,948","54,925","55,384","56,412","58,308","68,997","78,195","98,260","111,237","116,838","128,267","118,442","103,761","99,875","98,201","97,946","94,645","117,092","146,547","162,766","207,465","244,302","233,893","286,954","335,437","369,430","380,170","378,323","291,530","279,987","311,796","333,114","336,599","352,810","372,692","393,542","415,969","439,251"
Comoros,20,22,26,34,39,60,59,65,85,113,152,133,126,122,118,120,162,196,207,199,250,260,281,278,186,232,231,212,216,223,202,220,252,325,363,388,404,466,533,537,544,611,596,658,684,589,615,649,742,726,773,821,872,925,984
Democratic Republic of the Congo,"3,000","3,353","3,701","4,719","5,754","6,138","5,786","7,401","10,507","10,297","68,606","59,726","64,939","52,378","34,951","31,943","35,840","33,932","39,314","40,006","41,448","40,250","36,333","47,450","25,746","25,021","32,099","28,819","21,089","19,147","19,077","8,173","8,719","8,954","10,341","11,951","14,296","16,364","19,129","18,315","20,641","24,575","27,566","32,676","35,918","38,496","39,324","41,447","42,644","48,458","52,475","55,036","57,634","60,255","63,294"
Republic of Congo,262,300,360,480,580,683,709,707,879,"1,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
